ts_code,ann_date,name,gender,edu,national,birthday,position,biz_key
000006.SZ,20240617,宋扬,M,硕士,中国,1968,委员会成员:战略委员会委员(20240112~至今);委员会成员:战略委员会主任(20240112~至今),宋扬|M|1968|中国
000006.SZ,20240617,曲咏海,M,硕士,中国,197102,委员会成员:薪酬与考核委员会委员(20170316~20240614);委员会成员:薪酬与考核委员会主任(20170316~20240614);委员会成员:提名委员会委员(20170316~20240614);委员会成员:战略委员会委员(20170316~20240614),曲咏海|M|197102|中国
000006.SZ,20240617,李伟,M,本科,中国,1973,委员会成员:战略委员会委员(20201110~至今),李伟|M|1973|中国
000006.SZ,20240617,李固根,M,硕士,中国,198304,委员会成员:提名委员会委员(20240614~至今);委员会成员:提名委员会主任(20240614~至今);委员会成员:战略委员会委员(20240614~至今);委员会成员:审计委员会委员(20240614~至今),李固根|M|198304|中国
000006.SZ,20240617,李建春,M,博士,中国,1964,委员会成员:提名委员会委员(20170316~至今),李建春|M|1964|中国
000006.SZ,20240617,李普,M,本科,中国,197603,委员会成员:薪酬与考核委员会委员(20231016~至今),李普|M|197603|中国
000006.SZ,20240617,石澜,F,硕士,中国,1974,委员会成员:战略委员会委员(20220614~至今),石澜|F|1974|中国
000006.SZ,20240617,赵晋琳,F,博士,中国,196811,委员会成员:薪酬与考核委员会委员(20240614~至今);委员会成员:审计委员会委员(20240614~至今);委员会成员:审计委员会主任(20240614~至今),赵晋琳|F|196811|中国
000006.SZ,20240617,郭经纬,M,本科,中国,196104,委员会成员:薪酬与考核委员会委员(20240614~至今);委员会成员:薪酬与考核委员会主任(20240614~至今);委员会成员:提名委员会委员(20240614~至今);委员会成员:战略委员会委员(20240614~至今),郭经纬|M|196104|中国
000006.SZ,20240617,陈英革,M,硕士,中国,196807,委员会成员:提名委员会委员(20170316~20240614);委员会成员:提名委员会主任(20170316~20240614);委员会成员:审计委员会委员(20170316~20240614),陈英革|M|196807|中国
000006.SZ,20240716,叶文峰,M,本科,,197708,高管:副总裁(20240715~至今),叶文峰|M|197708|
000006.SZ,20250808,谢玲敏,F,博士,中国,198506,董事会成员:独立董事(20250807~至今),谢玲敏|F|198506|中国
000006.SZ,20250808,赵晋琳,F,博士,中国,196811,董事会成员:独立董事(20240612~20250807),赵晋琳|F|196811|中国
000006.SZ,20250815,谢玲敏,F,博士,中国,198506,委员会成员:薪酬与考核委员会委员(20250814~至今);委员会成员:审计委员会委员(20250814~至今);委员会成员:审计委员会主任(20250814~至今),谢玲敏|F|198506|中国
000006.SZ,20250815,赵晋琳,F,博士,中国,196811,委员会成员:薪酬与考核委员会委员(20240614~20250814);委员会成员:审计委员会委员(20240614~20250814);委员会成员:审计委员会主任(20240614~20250814),赵晋琳|F|196811|中国
000006.SZ,20251014,张雄群,M,硕士,中国,197007,监事:监事会召集人(20230426~20251013);监事:监事(20230426~20251013),张雄群|M|197007|中国
000006.SZ,20251014,陈旭,M,硕士,中国,198010,监事:职工监事(20230426~20251013),陈旭|M|198010|中国
000006.SZ,20251014,黄秀章,M,硕士,中国,197001,监事:监事(20210512~20251013),黄秀章|M|197001|中国
000007.SZ,20180126,赵鹏,M,本科,中国,197902,高管:财务总监(20180125~20180702),赵鹏|M|197902|中国
000007.SZ,20180212,吴广,M,本科,中国,198604,委员会成员:薪酬与考核委员会委员(20160616~20180210);董事会成员:董事(20160613~20180210),吴广|M|198604|中国
000007.SZ,20180212,周原,M,本科,中国,198504,董事会成员:董事(20170905~20180210),周原|M|198504|中国
000007.SZ,20180616,智德宇,F,本科,中国,197401,董事会成员:董事(20151215~20180615);委员会成员:提名委员会委员(20160118~20180615),智德宇|F|197401|中国
000007.SZ,20180616,赵鹏,M,本科,中国,197902,董事会成员:董事(20160613~20180615);委员会成员:审计委员会委员(20160616~20180615);董事会成员:副董事长(20160608~20180615),赵鹏|M|197902|中国
000007.SZ,20180926,任劲,M,硕士,中国,196405,董事会成员:董事(20180704~20180925),任劲|M|196405|中国
000007.SZ,20180926,吴向勇,M,硕士,中国,197308,董事会成员:董事(20180704~20180925),吴向勇|M|197308|中国
